代码,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅(%)
000027.SZ,2022/1/4,8.07,8.17,8.06,8.11,0.1235
000027.SZ,2022/1/5,8.11,8.12,7.88,7.94,-2.0962
000027.SZ,2022/1/6,7.95,7.99,7.88,7.96,0.2519
000027.SZ,2022/1/7,7.98,8.04,7.96,7.97,0.1256
000027.SZ,2022/1/10,7.98,8.03,7.92,8,0.3764
000027.SZ,2022/1/11,8,8.05,7.95,7.96,-0.5
000027.SZ,2022/1/12,8,8.01,7.92,7.97,0.1256
000027.SZ,2022/1/13,7.97,7.99,7.88,7.89,-1.0038
000027.SZ,2022/1/14,7.9,7.9,7.76,7.77,-1.5209
000027.SZ,2022/1/17,7.78,7.85,7.75,7.8,0.3861
000027.SZ,2022/1/18,7.8,7.92,7.75,7.86,0.7692
000027.SZ,2022/1/19,7.83,7.83,7.77,7.81,-0.6361
000027.SZ,2022/1/20,7.81,7.83,7.7,7.76,-0.6402
000027.SZ,2022/1/21,7.74,7.79,7.7,7.77,0.1289
000027.SZ,2022/1/24,7.71,7.72,7.44,7.49,-3.6036
000027.SZ,2022/1/25,7.42,7.42,6.97,7,-6.5421
000027.SZ,2022/1/26,7,7.16,7,7.04,0.5714
000027.SZ,2022/1/27,7.04,7.04,6.81,6.82,-3.125
000027.SZ,2022/1/28,6.9,6.98,6.78,6.93,1.6129
000027.SZ,2022/2/7,7,7.18,7,7.13,2.886
000027.SZ,2022/2/8,7.14,7.26,7.08,7.25,1.683
000027.SZ,2022/2/9,7.23,7.38,7.21,7.34,1.2414
000027.SZ,2022/2/10,7.34,7.44,7.31,7.44,1.3624
000027.SZ,2022/2/11,7.43,7.43,7.31,7.33,-1.4785
000027.SZ,2022/2/14,7.31,7.39,7.21,7.27,-0.8186
000027.SZ,2022/2/15,7.27,7.3,7.21,7.24,-0.4127
000027.SZ,2022/2/16,7.28,7.35,7.24,7.28,0.5525
000027.SZ,2022/2/17,7.26,7.32,7.22,7.24,-0.5495
000027.SZ,2022/2/18,7.19,7.32,7.16,7.31,0.9669
000027.SZ,2022/2/21,7.26,7.36,7.26,7.3,-0.1368
000027.SZ,2022/2/22,7.26,7.27,7.13,7.18,-1.6438
000027.SZ,2022/2/23,7.18,7.25,7.15,7.19,0.1393
000027.SZ,2022/2/24,7.19,7.42,7.04,7.09,-1.3908
000027.SZ,2022/2/25,7.13,7.26,7.04,7.19,1.4104
000027.SZ,2022/2/28,7.22,7.33,7.16,7.23,0.5563
000027.SZ,2022/3/1,7.27,7.32,7.17,7.21,-0.2766
